title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Outpost,"Aguirre, Ann.",9781250034182,F,FIC,"Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Teenagers -- Fiction. | Girls -- Fiction. | Science fiction. | Science fiction.","Deuce struggles for respect in a new topside town where she is treated like a child and avoided by Fade, a situation that compels her to volunteer for patrol duty and protect topside citizens from an unexpected upsurge in Freak activity.",Book 2 of the Razorland trilogy,Young Adult
Please pay attention,"Sumner, Jamie.",9781665956079,F,FIC,People with disabilities -- Fiction. | Horsemanship for people with disabilities -- Fiction. | Abnormal psychology -- Fiction. | School shootings -- Fiction. | Novels in verse.,"After surviving a school shooting that left her feeling helpless in her wheelchair, Bea finds healing and empowerment through horseback riding therapy and begins to advocate for change.",,5-8
The poison jungle,"Sutherland, Tui 1978-",9781338214529,F,FIC,Dragons -- Fiction. | Magic -- Fiction. | Secrecy -- Fiction. | Revenge -- Fiction. | Good and evil -- Fiction. | Adventure fiction. | Action and adventure fiction. | Fantasy fiction.,"Sundew, and most of the other LeafWings are nursing a deep hatred for the HiveWings, who have ripped every tree from the surface of Pantala, except those in Poison Jungle where the surviving LeafWings have been hiding, waiting for a dragon clever and powerful enough to exact their revenge--and now they are searching for the jungle's oldest and darkest mystery, one that could destroy them all.",Wings of fire,5.4.
Ready player two a novel,"Cline, Ernest.",9781524761349,F,FIC,Technology -- Fiction. | Regression (Civilization) -- Fiction. | Virtual reality -- Fiction. | Utopian fiction | Puzzles -- Fiction. | Science fiction.,"""Days after winning control of OASIS, the immersive virtual reality environment in which most of humanity chooses to live, Wade Watts discovers a world-changing technological advancement and draws the attention of a merciless new rival--OCLC.",,Adult
Running back to you,"Henning, Sarah.",9781665970174,F,FIC,Honesty -- Fiction. | Kissing -- Fiction. | High schools -- Fiction. | School fiction. | Romance fiction.,"""A usually-honest ninth grader fibs about having been kissed then rushes to lock lips with someone before her lie is uncovered""--Provided by publisher.",,5-8
The shadow road,"Kirchmeier, Kurt.",9781547615445,F,FIC,Monsters -- Fiction. | Survival skills -- Fiction. | Monster fiction. | Dystopian fiction | Fantasy fiction.,"After electric dragon-like monsters descended upon the earth and wiped out the power, teen survivors Thomas and Cassie embark on an epic journey to defeat the creatures and save humanity.",,Young Adult
A split second,"Marks, Janae.",9780063212374,F,FIC,Friendship -- Fiction. | Birthdays -- Fiction. | Memory -- Fiction. | African Americans -- Fiction. | Fantasy fiction.,"""Its the annual fall carnival, and Elise is happily celebrating her birthday with bffs Ivy and Melinda. Upon receiving a mysterious gift . . . things take a turn for the strange. Elise awakens to discover that she has time-traveled into the future. To make matters worse, Ivy and Melinda are no longer her besties. With nowhere else to turn, Elise confides in her old acquaintance, Cora. . . . A worried Cora reveals that she has used magic to make their paths cross, with the intention of getting her old buddy back. Cora and Elise must learn to put their frustrations aside and decide whether they should go back in time or if salvaging their friendship is worth the effort""--Amazon.",,5-8
Talons of power,"Sutherland, Tui 1978-",9780545685436,F,FIC,Dragons -- Fiction. | Prophecies -- Fiction. | Secrecy -- Fiction. | Identity (Psychology) -- Fiction. | Adventure fiction. | Fantasy fiction. | Action and adventure fiction.,"""The war is over. The false prophecy has been fulfilled. But the dragonets still have enemies. A dark evil, buried for centuries, is stirring. And a young NightWing may have had the first true prophecy in generations . . .""--Publisher.",Wings of fire,5.2.
The upside of unrequited,"Albertalli, Becky.",9780062348715,F,FIC,Twins -- Fiction. | Sisters -- Fiction. | Obesity -- Fiction. | Teenagers -- Fiction. | Lesbians -- Fiction. | Children of gay parents -- Fiction. | Romance fiction.,"""Avoiding relationships to protect her sensitive heart, plus-sized Molly supports her once-cynical twin, Cassie, when the latter has her own bout of lovesickness, a situation that is complicated by sibling dynamics and an unexpected romantic triangle.""--Provided by publisher.",,Young Adult
Winter turning,"Sutherland, Tui 1978-",9780545685399,F,FIC,Dragons -- Fiction. | Prophecies -- Fiction. | Voyages and travels -- Fiction. | Friendship -- Fiction. | Brothers -- Fiction. | Adventure fiction. | Fantasy fiction. | Action and adventure fiction.,"Winter has been a disappointment to his royal IceWing family, unlike his sister Icicle, who has been raised to challenge IceWing queen--but now that Icicle has broken the truce and escaped from Jade Mountain Academy, so Winter, accompanied by his new clawmates, Moon, Qibli, and Kinkajou, embarks on his own quest to free his brother from the clutches of Queen Scarlet, and win the respect of his family.",Wings of fire,5.6.
Winterhouse,"Guterson, Ben.",9781250294197,F,FIC,Hotels and motels -- Fiction. | Magic -- Fiction. | Puzzles -- Fiction. | Orphans -- Fiction. | Paranormal fiction. | Detective and mystery fiction.,"Elizabeth, eleven, spends Christmas break at Winterhouse hotel under strange circumstances, where she discovers that she has magic, and her love of puzzles helps her solve a mystery.",Winterhouse,3-6
With the fire on high,"Acevedo, Elizabeth.",9780062662842,F,FIC,Teenage mothers -- Fiction. | Cooking -- Fiction. | Bildungsromans.,"""Teen mother Emoni Santiago struggles with the challenges of finishing high school and her dream of working as a chef.""--OCLC.",,Young Adult
"Good Girl, Bad Blood","Jackson, Holly 1992-",9781984896438 (pbk),F,FIC,Criminal investigation -- Fiction. | Homicide -- Fiction. | Podcasting -- Fiction. | Mystery fiction. | Mystery fiction.,"""Pip is not a detective anymore. With the help of Ravi Singh, she released a true-crime podcast about the murder case they solved together last year. The podcast has gone viral, yet Pip insists her investigating days are behind her. But she will have to break that promise when someone she knows goes missing. Jamie Reynolds has disappeared, on the very same night the town hosted a memorial for the sixth-year anniversary of the deaths of Andie Bell and Sal Singh. The police won't do anything about it. And if they won't look for Jamie then Pip will, uncovering more of her town's dark secrets along the way . . . and this time everyone is listening. But will she find him before it's too late?""--Amazon.com.",A Good Girl's Guide to Murder,Young Adult
Each and every spark,"Swinarski, Claire.",9780063321786,F,FIC,Fate and fatalism -- Fiction. | Nazis -- Fiction. | Painting -- Fiction. | Mystery fiction. | Historical fiction. | Detective and mystery fiction.,"""Straddling two different timelines in Paris, France--one set in the Nazi-occupied 1940s; the other in our current day--this novel follows the mystery surrounding a painting that went missing during the French Resistance's desperate push against Hitler's regime . . . only to be found in modern-day Paris by a girl determined to uncover the meaning behind it""--OCLC.",,3-6
Enclave,"Aguirre, Ann.",9780312551377,F,FIC,Teenagers -- Fiction. | Girls -- Fiction. | Survival skills -- Fiction. | Science fiction. | Science fiction.,"The Huntress Duece is drawn to her new partner, Fade, a mysterious boy who is not afraid to break the rules of the elders, and as she learns of the elders' deceptions, she and Fade push the enclave to test their faith and protect themselves from unexpected dangers.",,Young Adult
The enemy's daughter,"Blankman, Anne.",9780593623053,F,FIC,"Friendship -- Fiction. | World War, 1914-1918 -- Fiction. | Historical fiction.","""In the midst of WWI, two girls discover they have more in common than they thought even though their countries are supposed to be enemies""--Provided by publisher.",,3-6
Horde,"Aguirre, Ann.",9781250050779,F,FIC,"Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Teenagers -- Fiction. | Girls -- Fiction. | Science fiction. | Science fiction.","Deuce attempts to raise an army and lead the refugees of Salvation to safety after the town is destroyed by a horde of Freaks, and along the way she tries to help Fade recover from post-traumatic stress disorder.",Book 3 of the Razorland trilogy,Young Adult
The last dragon on Mars,"Reintgen, Scott.",9781665946520,F,FIC,Dragons -- Fiction. | Orphans -- Fiction. | Survival skills -- Fiction. | Science fiction.,"""Thirteen-year-old Lunar Jones was born on Mars, with every day a struggle, until he stumbles into a restricted military zone where he learns dragons are real and a new dragon has chosen him as a rider--a role he needs to embrace quickly because this dragon could save the Martian colony""--OCLC.",The dragonships series,5-8
The hybrid prince,"Sutherland, Tui 1978-",9781546129547,F,FIC,Dragons -- Fiction. | Magic -- Fiction. | Good and evil -- Fiction. | Adventure fiction. | Adventure fiction. | Fantasy fiction.,"""As the youngest sibling of his MudWing hatching, Umber doesn't have the responsibilities of his bigwings, Reed, nor the hero destiny prophesied for his brother, Clay. He's always been content with his role as the cheerful, goofy, little brother. But when his sister, Sora, causes a tragedy at Jade Mountain Academy Umber finds himself on the run and thrown into a whole new role--that of protector""--Dust jacket.",Wings of fire,3-6
The Rise of Neptune,"Reintgen, Scott author.",9781665946544,F,FIC,Dragons -- Juvenile fiction. | Imaginary wars and battles -- Juvenile fiction. | Space warfare -- Juvenile fiction. | Dragons -- Fiction. | Imaginary wars and battles -- Fiction. | Space warfare -- Fiction.,"As Neptune's ships launch a surprise attack on Mars, Lunar and his Dread Knights must uncover the mysterious truths behind their divided enemy before those secrets lead to Mars' destruction.",Dragonships series,010+.
The Queen Bees of Tybee County,"Chu, Kyle Casey.",9780063326958,F,FIC,LGBTQ people -- Fiction. | Drag queens -- Fiction. | Beauty contests -- Fiction. | Chinese Americans -- Fiction. | Queer fiction.,Chinese American Derrick explores his queer identity by competing in a small-town beauty pageant where he shares his new love of drag with his family and friends.,,5-8
